country,countryId,region,activeUsers,sessions
Australia,AU,Other,1,1
Canada,CA,Other,1,1
Indonesia,ID,Other,1,1
Italy,IT,Other,1,1
United Kingdom,GB,Other,1,2
United States,US,Other,5,5
