eventName,eventCount,activeUsers
cite,4,1
cite_ack,8,8
click,8,3
export,18,1
feedback,7,1
first_visit,23,23
page_view,1832,35
scroll,241,33
session_start,116,32
share,5,1
user_engagement,179,24
view_search_results,5,1
